trade_date,000001.SZ,600519.SH,000858.SZ
2024-01-02,0.333333,0.333333,0.333333
2024-01-03,0.333333,0.333333,0.333333
2024-01-04,0.333333,0.333333,0.333333
2024-01-05,0.333333,0.333333,0.333333
2024-01-08,0.333333,0.333333,0.333333
2024-01-09,0.333333,0.333333,0.333333
2024-01-10,0.333333,0.333333,0.333333
2024-01-11,0.333333,0.333333,0.333333
2024-01-12,0.333333,0.333333,0.333333
2024-01-15,0.333333,0.333333,0.333333
2024-01-16,0.333333,0.333333,0.333333
2024-01-17,0.333333,0.333333,0.333333
2024-01-18,0.333333,0.333333,0.333333
2024-01-19,0.333333,0.333333,0.333333
2024-01-22,0.333333,0.333333,0.333333
2024-01-23,0.333333,0.333333,0.333333
2024-01-24,0.333333,0.333333,0.333333
2024-01-25,0.333333,0.333333,0.333333
2024-01-26,0.333333,0.333333,0.333333
2024-01-29,0.333333,0.333333,0.333333
2024-01-30,0.333333,0.333333,0.333333
2024-01-31,0.333333,0.333333,0.333333
2024-02-01,0.333333,0.333333,0.333333
2024-02-02,0.333333,0.333333,0.333333
2024-02-05,0.333333,0.333333,0.333333
2024-02-06,0.333333,0.333333,0.333333
2024-02-07,0.333333,0.333333,0.333333
2024-02-08,0.333333,0.333333,0.333333
2024-02-19,0.333333,0.333333,0.333333
2024-02-20,0.333333,0.333333,0.333333
2024-02-21,0.333333,0.333333,0.333333
2024-02-22,0.333333,0.333333,0.333333
2024-02-23,0.333333,0.333333,0.333333
2024-02-26,0.333333,0.333333,0.333333
2024-02-27,0.333333,0.333333,0.333333
2024-02-28,0.333333,0.333333,0.333333
2024-02-29,0.333333,0.333333,0.333333
2024-03-01,0.333333,0.333333,0.333333
2024-03-04,0.333333,0.333333,0.333333
2024-03-05,0.333333,0.333333,0.333333
2024-03-06,0.333333,0.333333,0.333333
2024-03-07,0.333333,0.333333,0.333333
2024-03-08,0.333333,0.333333,0.333333
2024-03-11,0.333333,0.333333,0.333333
2024-03-12,0.333333,0.333333,0.333333
2024-03-13,0.333333,0.333333,0.333333
2024-03-14,0.333333,0.333333,0.333333
2024-03-15,0.333333,0.333333,0.333333
2024-03-18,0.333333,0.333333,0.333333
2024-03-19,0.333333,0.333333,0.333333
2024-03-20,0.333333,0.333333,0.333333
2024-03-21,0.333333,0.333333,0.333333
2024-03-22,0.333333,0.333333,0.333333
2024-03-25,0.333333,0.333333,0.333333
2024-03-26,0.333333,0.333333,0.333333
2024-03-27,0.333333,0.333333,0.333333
2024-03-28,0.333333,0.333333,0.333333
2024-03-29,0.333333,0.333333,0.333333
2024-04-01,0.333333,0.333333,0.333333
2024-04-02,0.333333,0.333333,0.333333
2024-04-03,0.260906,0.442321,0.296774
2024-04-08,0.270518,0.439194,0.290288
2024-04-09,0.269092,0.440411,0.290497
2024-04-10,0.270809,0.440939,0.288252
